workload,workers,elapsed_seconds,avg_ms_per_submission,accepted_count
300,1,0.017245600000023842,0.05748533333341281,60
300,2,0.5743465000014112,1.9144883333380374,60
300,4,0.5939276000026439,1.9797586666754794,60
1000,1,0.056817799999407725,0.056817799999407725,200
1000,2,0.5729694000001473,0.5729694000001473,200
1000,4,0.5925239000025613,0.5925239000025613,200
3000,1,0.17126049999933457,0.05708683333311152,600
3000,2,0.6305329000024358,0.21017763333414524,600
3000,4,0.6194255000009434,0.20647516666698115,600
